feedstock_key,workbook_label,role,ivcs,direct_factor_required,coverage_status,preferred_factor_id,preferred_factor_value,preferred_factor_unit,quality_flag,available_sensitivity_factor_ids,analysis_ready,remaining_issue_or_caveat,recommended_code_treatment,inventory_source
sewage_sludge_raw,Sewage sludge,primary_physical_feedstock,IVC7; IVC8a; IVC9a; IVC11a_road; IVC11a_SAF,yes,covered_lower_bound_only,sewage_sludge_cutoff_wwtp_gate,0,kgCO2e_per_t_raw_sludge,lower_bound_boundary_limited,,conditional,Numeric result is boundary-limited and should not be interpreted as complete life-cycle burden.,direct_physical_factor,Feedstock MIX per IVC: IVC7 rows 20-28; IVC8a rows 30-39; IVC9a and IVC11a blocks
industrial_biowaste_non_postconsumer_wood,Biowastes (post consumer woods excluded),primary_physical_feedstock,IVC7,yes,covered_direct_or_close,industrial_biowaste_non_postconsumer_wood_matschegg2026,4.5,kgCO2e_per_t_feedstock,direct_category_match,industrial_biowaste_non_postconsumer_wood_red_zero,yes,,direct_physical_factor,Feedstock MIX per IVC: IVC7 rows 20-28
agroprocessing_residues_maize_cobs,Agroprocessing residues - maize cobs,primary_physical_feedstock,IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,yes,covered_with_proxy,agroprocessing_residues_maize_cobs_matschegg2026,4.5,kgCO2e_per_t_feedstock,proxy_category,,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,Feedstock MIX per IVC: IVC8a rows 30-39 and residue-mix blocks through rows 118
primary_forestry_residues,Primary forestry residues,primary_physical_feedstock,IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,yes,covered_with_proxy,primary_forestry_residues_matschegg2026,15.1,kgCO2e_per_t_feedstock,proxy_residue_type,primary_forestry_residues_red_zero,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,Feedstock MIX per IVC: IVC8a rows 30-39 and residue-mix blocks through rows 118
post_consumer_wood_biowaste,Biowastes - Post consumer wood,primary_physical_feedstock,IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,yes,covered_direct_or_close,post_consumer_wood_biowaste_matschegg2026,23.2,kgCO2e_per_t_feedstock,direct_category_match,post_consumer_wood_biowaste_red_zero,yes,,direct_physical_factor,Feedstock MIX per IVC: IVC8a rows 30-39 and residue-mix blocks through rows 118
rapeseed_oil,Rapeseed oil,primary_physical_feedstock,IVC_T_FF; IVC_HT_FF,yes,covered_direct_or_close,rapeseed_oil_alcock2022_global_median,2490,kgCO2e_per_t_refined_oil,direct_product_global_median,,yes,,direct_physical_factor,Feedtstocks only CONVENTIONAL: food/feed crop oil blocks
soybean_oil,Soybean oil,primary_physical_feedstock,IVC_T_FF; IVC_HT_FF,yes,covered_direct_or_close,soybean_oil_alcock2022_global_median,4250,kgCO2e_per_t_refined_oil,direct_product_global_median,,yes,,direct_physical_factor,Feedtstocks only CONVENTIONAL: food/feed crop oil blocks
sunflower_oil,Sunflower oil,primary_physical_feedstock,IVC_T_FF; IVC_HT_FF,yes,covered_direct_or_close,sunflower_oil_alcock2022_global_median,2940,kgCO2e_per_t_refined_oil,direct_product_global_median,,yes,,direct_physical_factor,Feedtstocks only CONVENTIONAL: food/feed crop oil blocks
palm_oil,Palm oil,primary_physical_feedstock,IVC_T_FF; IVC_HT_FF,yes,covered_direct_or_close,palm_oil_alcock2022_global_median,3730,kgCO2e_per_t_refined_oil,direct_product_global_median,,yes,,direct_physical_factor,Feedtstocks only CONVENTIONAL: food/feed crop oil blocks
cover_crop_oil_marginal_land,Cover crops from marginal lands,primary_physical_feedstock,IVC_T_CC; IVC_HT_CC; IVC_HT_CC_SAF,yes,covered_with_proxy,cover_crop_oil_marginal_land_cardoon_oil_proxy,1100,kgCO2e_per_t_oil,proxy_species_and_form,,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,Feedtstocks only CONVENTIONAL: cover-crop from marginal-land blocks
used_cooking_oil,UCO imported; UCO domestic,primary_physical_feedstock,IVC_T_lipids; IVC_HT_lipids; IVC_HT_lipids_SAF,yes,covered_direct_or_close,uco_giuliano2026_preprocessed,120,kgCO2e_per_t_oil,close_product_match,uco_raw_cutoff_zero,yes,,direct_physical_factor,Feedtstocks only CONVENTIONAL: UCO/animal-fat lipid blocks
rendered_animal_fat,Animal fat domestic,primary_physical_feedstock,IVC_T_lipids; IVC_HT_lipids; IVC_HT_lipids_SAF,yes,covered_direct_or_close,rendered_animal_fat_ramirez2012_cat3,150,kgCO2e_per_t_rendered_fat,close_product_match_category_specific,animal_byproduct_raw_cutoff_zero,yes,,direct_physical_factor,Feedtstocks only CONVENTIONAL: UCO/animal-fat lipid blocks
wheat_kernels,Wheat kernels,primary_physical_feedstock,IVC_EF_FF,yes,covered_with_proxy,wheat_kernels_garciagudino2020_spain,705.5,kgCO2e_per_t_grain,geographic_and_application_proxy,,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,Feedtstocks only CONVENTIONAL: ethanol food/feed crop block
corn_kernels,Corn kernels,primary_physical_feedstock,IVC_EF_FF,yes,covered_with_proxy,corn_kernels_garciagudino2020_spain,385.4,kgCO2e_per_t_grain,geographic_and_application_proxy,,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,Feedtstocks only CONVENTIONAL: ethanol food/feed crop block
sugar_beets,Sugar Beets,primary_physical_feedstock,IVC_EF_FF,yes,covered_with_proxy,sugar_beet_europe_benchmark_60,60,kgCO2e_per_t_fresh_beet,secondary_benchmark_proxy,,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,Feedtstocks only CONVENTIONAL: ethanol food/feed crop block
fpbo_biocrude_intermediate,"FPBO, biocrude",intermediate_bioenergy_carrier,IVC2_HVO; IVC2_HEFA,no,not_applicable_direct_factor,,,,,,yes_for_architecture,Recursive/process treatment required; assigning an independent primary-feedstock factor would risk double counting.,recursive_trace_to_primary_feedstocks,Feedstock MIX per IVC: IVC2 blocks
ethanol_methanol_intermediate,"Intermediate Bioenergy carrier (ethanol, methanol)",intermediate_bioenergy_carrier,IVC6,no,not_applicable_direct_factor,,,,,,yes_for_architecture,Recursive/process treatment required; assigning an independent primary-feedstock factor would risk double counting.,recursive_trace_to_primary_feedstocks,"Feedstock MIX per IVC: IVC6 block, row 18"
crude_glycerine_intermediate,Intermediate Bioenergy carrier (crude glycerine),intermediate_bioenergy_carrier,IVC7,no,not_applicable_direct_factor,,,,,,yes_for_architecture,Recursive/process treatment required; assigning an independent primary-feedstock factor would risk double counting.,recursive_trace_to_primary_feedstocks,Feedstock MIX per IVC: IVC7 rows 20-28
fpbo_low_quality_intermediate,Intermediate Bioenergy carrier (FPBO with lower quality),intermediate_bioenergy_carrier,IVC8a; IVC9a; IVC11a_road; IVC11a_SAF,no,not_applicable_direct_factor,,,,,,yes_for_architecture,Recursive/process treatment required; assigning an independent primary-feedstock factor would risk double counting.,recursive_trace_to_primary_feedstocks,Feedstock MIX per IVC: IVC8a/IVC9a/IVC11a residue-mix blocks
biomethane_intermediate,Intermediate Bioenergy carrier (biomethane),intermediate_bioenergy_carrier,IVC8b,no,not_applicable_direct_factor,,,,,,yes_for_architecture,Recursive/process treatment required; assigning an independent primary-feedstock factor would risk double counting.,recursive_trace_to_primary_feedstocks,Feedstock MIX per IVC: IVC8b block
syngas_intermediate,Intermediate Bioenergy carriers (Syngas),intermediate_bioenergy_carrier,IVC12 road/aviation,no,not_applicable_direct_factor,,,,,,yes_for_architecture,Recursive/process treatment required; assigning an independent primary-feedstock factor would risk double counting.,recursive_trace_to_primary_feedstocks,Feedstock MIX per IVC: IVC12 block
biogenic_co2_electrolytic_h2_composite,e-biofuel feedstocks (biogenic CO2 and hydrogen from electrolysis),rfnbio_process_feedstock,IVC8c; IVC9b,no,not_applicable_direct_factor,,,,,,yes_for_architecture,Recursive/process treatment required; assigning an independent primary-feedstock factor would risk double counting.,dedicated_process_model_electricity_h2_co2,Feedstock MIX per IVC: IVC8c and IVC9b blocks
