feedstock_key,workbook_label,role,family,origin,ivcs,source_sheet,source_locator,io_mapping,direct_factor_required,treatment,notes
sewage_sludge_raw,Sewage sludge,primary_physical_feedstock,waste_sludge,EU/unspecified,IVC7; IVC8a; IVC9a; IVC11a_road; IVC11a_SAF,Feedstock MIX per IVC,IVC7 rows 20-28; IVC8a rows 30-39; IVC9a and IVC11a blocks,E37 sewerage / waste management,yes,direct_physical_factor,Current updated library only has a cut-off/lower-bound zero at the sludge-generator boundary; downstream treatment must not be silently omitted.
industrial_biowaste_non_postconsumer_wood,Biowastes (post consumer woods excluded),primary_physical_feedstock,municipal_industrial_biowaste,EU/unspecified,IVC7,Feedstock MIX per IVC,IVC7 rows 20-28,E36-39 water/sewerage/waste management,yes,direct_physical_factor,Mapped to harmonized Austrian 'biogenic waste' upstream factor.
agroprocessing_residues_maize_cobs,Agroprocessing residues - maize cobs,primary_physical_feedstock,industrial_agricultural_residue,EU/unspecified,IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,Feedstock MIX per IVC,IVC8a rows 30-39 and residue-mix blocks through rows 118,"C10-12 food, beverages and tobacco",yes,direct_physical_factor,Current factor is a biogenic-waste proxy; a maize-cob-specific supply-chain factor would improve precision.
primary_forestry_residues,Primary forestry residues,primary_physical_feedstock,forestry_residue,EU/unspecified,IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,Feedstock MIX per IVC,IVC8a rows 30-39 and residue-mix blocks through rows 118,A02 forestry and logging,yes,direct_physical_factor,Austrian bark supply-chain factor is used as a residue proxy; forest-carbon opportunity effects remain outside this static upstream factor.
post_consumer_wood_biowaste,Biowastes - Post consumer wood,primary_physical_feedstock,municipal_wood_residue,EU/unspecified,IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,Feedstock MIX per IVC,IVC8a rows 30-39 and residue-mix blocks through rows 118,E36-39 water/sewerage/waste management,yes,direct_physical_factor,Directly matched to Austrian post-consumer-wood upstream chain.
rapeseed_oil,Rapeseed oil,primary_physical_feedstock,virgin_vegetable_oil,primarily EU,IVC_T_FF; IVC_HT_FF,Feedtstocks only CONVENTIONAL,food/feed crop oil blocks,C10-12 food products / vegetable oils,yes,direct_physical_factor,"Workbook specifies oil, not seed; refined-oil literature factor used."
soybean_oil,Soybean oil,primary_physical_feedstock,virgin_vegetable_oil,EU processing / imported soybeans,IVC_T_FF; IVC_HT_FF,Feedtstocks only CONVENTIONAL,food/feed crop oil blocks,C10-12 food products / vegetable oils,yes,direct_physical_factor,Workbook specifies oil; global refined-oil median used.
sunflower_oil,Sunflower oil,primary_physical_feedstock,virgin_vegetable_oil,primarily EU,IVC_T_FF; IVC_HT_FF,Feedtstocks only CONVENTIONAL,food/feed crop oil blocks,C10-12 food products / vegetable oils,yes,direct_physical_factor,Workbook specifies oil; global refined-oil median used.
palm_oil,Palm oil,primary_physical_feedstock,virgin_vegetable_oil,imported,IVC_T_FF; IVC_HT_FF,Feedtstocks only CONVENTIONAL,food/feed crop oil blocks,C10-12 food products / vegetable oils,yes,direct_physical_factor,Global median is highly sensitive to land-use and POME methane-capture assumptions.
cover_crop_oil_marginal_land,Cover crops from marginal lands,primary_physical_feedstock,dedicated_nonfood_oil_crop,EU/unspecified,IVC_T_CC; IVC_HT_CC; IVC_HT_CC_SAF,Feedtstocks only CONVENTIONAL,cover-crop from marginal-land blocks,A01 agriculture,yes,direct_physical_factor,Species and whether workbook mass is harvested crop or extracted oil are not explicit; cardoon-oil factor is a provisional proxy.
used_cooking_oil,UCO imported; UCO domestic,primary_physical_feedstock,waste_lipid,domestic + imported,IVC_T_lipids; IVC_HT_lipids; IVC_HT_lipids_SAF,Feedtstocks only CONVENTIONAL,UCO/animal-fat lipid blocks,C10-12 food/waste-lipid proxy,yes,direct_physical_factor,Central factor represents collection + pretreatment to usable lipid; raw restaurant-gate cut-off zero retained as sensitivity.
rendered_animal_fat,Animal fat domestic,primary_physical_feedstock,waste_lipid,domestic,IVC_T_lipids; IVC_HT_lipids; IVC_HT_lipids_SAF,Feedtstocks only CONVENTIONAL,UCO/animal-fat lipid blocks,C10-12 food/by-product proxy,yes,direct_physical_factor,Central factor uses category-3 mammalian rendered fat. Category/legal mix should be confirmed if material composition matters.
wheat_kernels,Wheat kernels,primary_physical_feedstock,food_feed_crop,EU/unspecified,IVC_EF_FF,Feedtstocks only CONVENTIONAL,ethanol food/feed crop block,A01 agriculture,yes,direct_physical_factor,Spanish feed-factory-gate wheat factor used as European proxy.
corn_kernels,Corn kernels,primary_physical_feedstock,food_feed_crop,EU/unspecified,IVC_EF_FF,Feedtstocks only CONVENTIONAL,ethanol food/feed crop block,A01 agriculture,yes,direct_physical_factor,Spanish feed-factory-gate maize factor used as European proxy.
sugar_beets,Sugar Beets,primary_physical_feedstock,food_feed_crop,EU/unspecified,IVC_EF_FF,Feedtstocks only CONVENTIONAL,ethanol food/feed crop block,A01 agriculture,yes,direct_physical_factor,Current 60 kg CO2e/t fresh beet is a European literature benchmark; it is not a model-specific EU weighted average.
fpbo_biocrude_intermediate,"FPBO, biocrude",intermediate_bioenergy_carrier,bioenergy_intermediate,model_endogenous/unspecified,IVC2_HVO; IVC2_HEFA,Feedstock MIX per IVC,IVC2 blocks,C20 chemicals / model bioenergy carrier,no,recursive_trace_to_primary_feedstocks,Do not assign an independent feedstock factor if emissions are already carried by its primary biomass and conversion stage.
ethanol_methanol_intermediate,"Intermediate Bioenergy carrier (ethanol, methanol)",intermediate_bioenergy_carrier,bioenergy_intermediate,model_endogenous/unspecified,IVC6,Feedstock MIX per IVC,"IVC6 block, row 18",model bioenergy carrier,no,recursive_trace_to_primary_feedstocks,Recursive intermediate.
crude_glycerine_intermediate,Intermediate Bioenergy carrier (crude glycerine),intermediate_bioenergy_carrier,bioenergy_intermediate,model_endogenous/unspecified,IVC7,Feedstock MIX per IVC,IVC7 rows 20-28,C20 chemicals,no,recursive_trace_to_primary_feedstocks,Recursive intermediate/co-product; allocation treatment must remain consistent with its producing route.
fpbo_low_quality_intermediate,Intermediate Bioenergy carrier (FPBO with lower quality),intermediate_bioenergy_carrier,bioenergy_intermediate,model_endogenous/unspecified,IVC8a; IVC9a; IVC11a_road; IVC11a_SAF,Feedstock MIX per IVC,IVC8a/IVC9a/IVC11a residue-mix blocks,C20 chemicals / model bioenergy carrier,no,recursive_trace_to_primary_feedstocks,Recursive intermediate.
biomethane_intermediate,Intermediate Bioenergy carrier (biomethane),intermediate_bioenergy_carrier,bioenergy_intermediate,model_endogenous,IVC8b,Feedstock MIX per IVC,IVC8b block,model advanced-biogas carrier,no,recursive_trace_to_primary_feedstocks,Recursive intermediate; avoid counting primary biomass twice.
syngas_intermediate,Intermediate Bioenergy carriers (Syngas),intermediate_bioenergy_carrier,bioenergy_intermediate,model_endogenous,IVC12 road/aviation,Feedstock MIX per IVC,IVC12 block,model bioenergy carrier,no,recursive_trace_to_primary_feedstocks,Recursive intermediate.
biogenic_co2_electrolytic_h2_composite,e-biofuel feedstocks (biogenic CO2 and hydrogen from electrolysis),rfnbio_process_feedstock,co2_hydrogen_composite,scenario/process-specific,IVC8c; IVC9b,Feedstock MIX per IVC,IVC8c and IVC9b blocks,C20 chemicals in current monetary model,no,dedicated_process_model_electricity_h2_co2,"Must not receive a biomass feedstock factor. GHG depends on electricity, H2 production and CO2 source/boundary."
